,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,price,property-beds,property-baths,property-sqft,Garage,Property Type,Square Footage
7343,"207 1788 GILMORE AVENUE, Burnaby, BC V5C 0L5",Burnaby,BC,V5C 0L5,49.268316,-123.0137445,849900.0,2.0,2.0,897,,Condo,897 SQFT
12266,"4152 PENDER STREET, Burnaby, BC V5C 2M2",Burnaby,BC,V5C 2M2,49.27994,-123.012311,3380000.0,9.0,9.0,"4,136",,Single Family,"4,136 SQFT"
12264,"7097 BELCARRA DRIVE, Burnaby, BC V5A 1A6",Burnaby,BC,V5A 1A6,49.2845529,-122.955726,3999000.0,5.0,2.0,"2,155",,Single Family,"2,155 SQFT"
12209,"6296 AUBREY STREET, Burnaby, BC V5B 2E1",Burnaby,BC,V5B 2E1,49.2731577,-122.9728453,3680000.0,6.0,7.0,"4,736",,Single Family,"4,736 SQFT"
12261,"5076 SMITH AVENUE, Burnaby, BC V5G 2W7",Burnaby,BC,V5G 2W7,49.2384688,-123.0195653,1999000.0,5.0,3.0,"2,270",,Single Family,"2,270 SQFT"
7344,"6771 WINCH STREET, Burnaby, BC V5B 2L7",Burnaby,BC,V5B 2L7,49.2700674,-122.9634965,2498000.0,5.0,3.0,"3,218",,Single Family,"3,218 SQFT"
12242,"8 6965 HASTINGS STREET, Burnaby, BC V5B 1S9",Burnaby,BC,V5B 1S9,49.2806568,-122.95973,489900.0,1.0,1.0,500,,Condo,500 SQFT
12233,"6614 STRAWSON STREET, Burnaby, BC V5E 1W6",Burnaby,BC,V5E 1W6,49.2311171,-122.9672981,2380000.0,4.0,2.0,"1,905",,Single Family,"1,905 SQFT"
4310,"3405 4508 HAZEL STREET, Burnaby, BC V5H 0E4",Burnaby,BC,V5H 0E4,49.2304203,-123.003606,696000.0,1.0,1.0,630,,Condo,630 SQFT
12232,"1818 HOLDOM AVENUE, Burnaby, BC V5B 3W2",Burnaby,BC,V5B 3W2,49.267649,-122.980844,4752000.0,6.0,2.0,"2,450",,Single Family,"2,450 SQFT"
12231,"504 4160 ALBERT STREET, Burnaby, BC V5C 6K2",Burnaby,BC,V5C 6K2,49.2814971,-123.0121039,889888.0,2.0,2.0,"1,055",,Condo,"1,055 SQFT"
12215,"507 2085 SKYLINE COURT, Burnaby, BC V5C 0M6",Burnaby,BC,V5C 0M6,49.2652591,-123.0046757,1019000.0,2.0,2.0,993,,Condo,993 SQFT
11823,"2801 2232 DOUGLAS ROAD, Burnaby, BC V5C 0G9",Burnaby,BC,V5C 0G9,49.2643434,-122.9903544,1750000.0,3.0,3.0,"1,782",,Condo,"1,782 SQFT"
7446,"3302 4688 KINGSWAY, Burnaby, BC V5H 0E9",Burnaby,BC,V5H 0E9,49.2287559,-123.0014456,738000.0,1.0,1.0,632,,Condo,632 SQFT
11811,"1508 4300 MAYBERRY STREET, Burnaby, BC V5H 4A4",Burnaby,BC,V5H 4A4,49.225894,-123.011375,569000.0,1.0,1.0,799,,Condo,799 SQFT
11312,"2807 4168 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N9",Burnaby,BC,V5C 0N9,49.2661042,-123.012536,998000.0,2.0,2.0,985,,Condo,985 SQFT
11302,"5680 CEDARWOOD STREET, Burnaby, BC V5G 2K6",Burnaby,BC,V5G 2K6,49.240604,-122.980529,3188800.0,7.0,5.0,"4,733",,Single Family,"4,733 SQFT"
